model_name,mse,rmse,mae,r2_score
LinearRegression,4648.090508659676,68.17690597746187,28.38173079190865,0.925731142274403
Ridge,4548.501940765383,67.44258254816005,28.235333477499545,0.92732240414124
Lasso,3392.666435813935,58.246600208200434,25.40464933700879,0.9457907585141815
ElasticNet,3035.846550740405,55.098516774414215,36.80270206197468,0.9514921546528362
DecisionTree,10972.408016569201,104.74926260632674,45.720029239766085,0.8246789281810339
RandomForest,10747.160214411168,103.66851119993558,39.78483422096909,0.8282780183752355
ExtraTrees,10707.642698586742,103.47774011151742,37.013230994152046,0.8289094434206311
GradientBoosting,9776.70476391262,98.87722065224436,38.256339703457314,0.8437843037300123
KNeighbors,14788.197368421053,121.60673241404463,55.328947368421055,0.7637088769405187
MLP,5274.168743633802,72.62347240137862,48.17385487844879,0.9157274396202147
